6.46678646	3.49159241	NYSC Member Shares How He Escaped Being Electrocuted Few Days After Surviving Fatal Accident -Photos: A Nigerian ma… https://t.co/b3rhHWECiW
6.46678646	3.49159241	#ICYMI: Nigerian Man Recounts How He Narrowly Escape Fatal Accident Involving 2 Buses (Photos): A Nigerian man simp… https://t.co/cnO1mT7tiy
6.46678646	3.49159241	Cows Killed After Running Out Of The Bush And Causing Serious Accident In Port-Harcourt (Photos): A ghastly motor a… https://t.co/BOhfKGtNVr
6.46678646	3.49159241	#ICYMI: OMG! 18 Passengers Confirmed Dead In Lagos-Ibadan Expressway Auto Crash: A fatal accident this evening alon… https://t.co/HwVAfPC8Qk
6.46678646	3.49159241	#ICYMI: Wedding Day Turn Sour! Newly Married Couple Involved In Ghastly Accident, Groomsman Dies (Photos): Groomsma… https://t.co/WBWvt4DwxH
6.46678646	3.49159241	Nigerian Man Recounts How He Narrowly Escape Fatal Accident Involving 2 Buses (Photos): A Nigerian man simply ident… https://t.co/vokkY2vsPn
6.46678646	3.49159241	FYI: SAD! Corps Member, Two Final Year Students Die In Fatal Car Accident In Ilorin (Photos): Two final year studen… https://t.co/DuFOIo13YM
6.46678646	3.49159241	OMG! 18 Passengers Confirmed Dead In Lagos-Ibadan Expressway Auto Crash: A fatal accident this evening along the La… https://t.co/h92IG4FNPg
6.46678646	3.49159241	Wedding Day Turn Sour! Newly Married Couple Involved In Ghastly Accident, Groomsman Dies (Photos): Groomsman killed… https://t.co/tsS5Z0WKxq
6.46678646	3.49159241	#ICYMI: SAD! Corps Member, Two Final Year Students Die In Fatal Car Accident In Ilorin (Photos): Two final year stu… https://t.co/tnWQhJAuhN
6.46678646	3.49159241	FYI: SMH! Many Injured As Edo Govt's Press Bus Involve In Ghastly Car Accident (Photos): A bus assigned to the Pres… https://t.co/W5GPWHDyJf
6.46678646	3.49159241	SAD! Corps Member, Two Final Year Students Die In Fatal Car Accident In Ilorin (Photos): Two final year students of… https://t.co/rtu70xaPmp
6.46678646	3.49159241	FYI: Tragic Accident Left One Dead As Motorcycle &amp; Car Collide In Anambra State (Photo): A terrible accident happen… https://t.co/DGcu4aRvlk
6.46678646	3.49159241	#ICYMI: SMH! Many Injured As Edo Govt's Press Bus Involve In Ghastly Car Accident (Photos): A bus assigned to the P… https://t.co/IEmGSH6Qyy
6.46678646	3.49159241	#ICYMI: Tragic Accident Left One Dead As Motorcycle &amp; Car Collide In Anambra State (Photo): A terrible accident hap… https://t.co/a7FW2FU50m
6.46678646	3.49159241	FYI: ESUT Transport Shuttle Involved In A Ghastly Motor Accident Along Uguwaji Road, Enugu (Photos): One of Enugu S… https://t.co/nCgYUfJ9W3
6.46678646	3.49159241	SMH! Many Injured As Edo Govt's Press Bus Involve In Ghastly Car Accident (Photos): A bus assigned to the Press Uni… https://t.co/9vyjjt3JvI
6.49407679	3.39477539	Obaseki not involved in press bus accident – Edo Govt
6.46678646	3.49159241	Tragic Accident Left One Dead As Motorcycle &amp; Car Collide In Anambra State (Photo): A terrible accident happened to… https://t.co/K1AGJ4ZI9p
6.46678646	3.49159241	#ICYMI: ESUT Transport Shuttle Involved In A Ghastly Motor Accident Along Uguwaji Road, Enugu (Photos): One of Enug… https://t.co/pPoAP4Atwl
6.46678646	3.49159241	ESUT Transport Shuttle Involved In A Ghastly Motor Accident Along Uguwaji Road, Enugu (Photos): One of Enugu State… https://t.co/CKs0x7cso4
6.46678646	3.49159241	FYI: NYSC Member With Earpiece Plugged In Mangled To Death By Train In Another Accident In Ikeja (Photos): Yet anot… https://t.co/P6sFqVzi4m
6.46678646	3.49159241	FYI: Popular Warri OAP &amp; Broadcaster Cheats Death After Fuel Tanker Climbed His Vehicle (Photos): An On-Air-Persona… https://t.co/O91lVfh4GB
6.46678646	3.49159241	FYI: Actors Guild Of Nigeria Members Involved In Motor Accident In Anambra When Returning From A Burial: Actors Gui… https://t.co/kKJqw74OVv
6.46678646	3.49159241	#ICYMI: NYSC Member With Earpiece Plugged In Mangled To Death By Train In Another Accident In Ikeja (Photos): Yet a… https://t.co/gZzHzq5UOB
