129	5/9/18	Brown Str. Oshodi	Oshodi Isolo	Responded, crash was already addressed	8:15 AM	8:20 AM	5
130	5/8/18	Domino Plaza, Abule Egba	Alimosho	Responded, no crash (false call)	6:17 AM	7:14 AM	57
132	5/4/18	Parafa busstop inward Itoikin	Epe	Responded, crash was already addressed	9:11 PM	9:40 PM	29
134	5/4/18	Winners inward 	Ikorodu	Responded, addressed crash	10:17 PM	10:46 PM	29
135	5/30/18	Cele bus stop inward Egbeda opp Keftue Bank	Alimosho	Responded, no crash (false call)	7:17 PM	8:33 PM	76
136	5/31/18	Fadeyi inward Pass	Shomolu	Responded, addressed crash	5:57 PM	6:30 PM	33
137	5/9/18	Agindingbin by Lastva	Ikeja	Responded, addressed crash	7:15 AM	7:35 AM	20
138	5/29/18	Iyana-Ipaja Dayco filling station	Alimosho	Responded, no crash (false call)	3:35 PM	4:24 PM	49
139	5/29/18	Migante Rd Oba-Akran (First Bank)	Ikeja	Responded, no crash (false call)	7:15 AM	7:27 AM	12
140	5/28/18	Abule Egba Jubilee Bridge inward Iyana-Ipaja	Ifako Ijaiye	Responded, crash was already addressed	11:10 AM	12:40 PM	90
141	5/28/18	Alaba Int by St Patrick b/s	Ojo	Responded, no crash (false call)	5:39 PM	8:55 PM	196
142	5/28/18	Mepa b/s Oshodi Apapa Express inward Celle	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
143	5/28/18	Mepa b/s Oshodi Apapa Express inward Celle	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
144	5/28/18	Mepa b/s Oshodi Apapa Express inward Celle	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
145	5/28/18	Mepa b/s Oshodi Apapa Express inward Celle	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
146	5/28/18	Mepa b/s inward Cele	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
147	5/28/18	Mepa b/s inward Cele	Surulere	Responded, addressed crash	10:49 AM	11:08 AM	19
148	5/21/18	Ipakodo	Ikorodu	Responded, no crash (false call)	7:07 PM	7:12 PM	5
151	5/19/18	Pako B/stop inward ipaja road b/4 mosam blstg	Agege	Other	6:33 AM	7:05 AM	32
154	5/20/18	Oba Akram road inward Agege 2nd gate b/st by AUCO building	Agege	Responded, addressed crash	10:31 PM	10:43 PM	12
155	5/21/18	Anthony inward Oshodi along gbaguda exp	Kosofe	Responded, no crash (false call)	5:36 AM	6:00 AM	24
156	5/21/18	Adeniyi Jones by Harmony Estate	Ikeja	Responded, addressed crash	6:16 AM	6:45 AM	29
157	5/7/18	Aradagun b/stop	Badagry	Did not respond	11:37 AM	11:37 AM	0
158	5/28/18	Nepa b/s inward Cele	Alimosho	Responded, addressed crash	10:49 AM	11:08 AM	19
159	5/28/18	Nepa b/s inward Cele	Alimosho	Responded, addressed crash	10:49 AM	11:08 AM	19
160	5/28/18	Mepa b/s Oshodi Apapa Expressway inward Cele	Oshodi Isolo	Responded, addressed crash	10:49 AM	11:08 AM	19
162	5/28/18	Ojuelegba bridge inward Redeyi	Surulere	Responded, no crash (false call)	9:34 AM	10:15 AM	41
163	5/28/18	Anthony B/stop inward Ojota	Kosofe	Responded, no crash (false call)	7:32 PM	8:03 PM	31
165	5/29/18	In front of Latma offices	Oshodi Isolo	Responded, addressed crash	6:33 AM	6:55 AM	22
166	5/29/18	Sanya b/stop inward mile 2	Surulere	Responded, no crash (false call)	8:21 PM	8:56 PM	35
167	5/3/18	Oremeta, EHiS Hotel 	Ikeja	Responded, no crash (false call)	8:14 AM	8:32 AM	18
171	5/19/18	Seven up inward Ministry of Lands	Ikeja	Responded, crash was already addressed	6:39 PM	6:48 PM	9
172	5/19/18	Ketu Roundabout / Ejuran 	Kosofe	Responded, no crash (false call)	9:52 AM	9:58 AM	6
173	5/18/18	Ketu link bridge by Demurin	Kosofe	Other	12:29 PM	12:35 PM	6
174	5/9/18	Third Mainland Bridge Inward Iyana Oworo	Shomolu	Responded, crash was already addressed	12:09 PM	12:24 PM	15
175	5/9/18	3rd Mainland Bridge inward Adewale	Shomolu	Other	3:35 PM	3:50 PM	15
176	5/28/18	Ikate R/about	Eti Osa	Responded, no crash (false call)	6:27 PM	6:37 PM	10
177	5/6/18	Eko Akete	Lagos Island	Other	2:33 PM	3:03 PM	30
178	5/30/18	Alapere by The Apertabe Church	Kosofe	Responded, no crash (false call)	6:40 AM	6:45 AM	5
179	5/30/18	Maryland Underbridge by Cinema Mall	Ikeja	Responded, no crash (false call)	11:28 AM	11:45 AM	17
182	5/31/18	Alapere bustop inward Ketu	Kosofe	Responded, no crash (false call)	1:58 PM	2:09 PM	11
183	5/31/18	Kola B/stop inward 	Alimosho	Responded, crash was already addressed	12:18 PM	12:47 PM	29
184	5/31/18	Pen Cinema b/stop Agege LG office	Agege	Responded, crash was already addressed	8:44 PM	9:12 PM	28
185	5/31/18	Charlie boy B/Stop inward Anthony	Kosofe	Responded, crash was already addressed	6:10 AM	6:43 AM	33
186	5/31/18	Olorun Adagba junction Egbeda Iyana Ipaya	Alimosho	Responded, addressed crash	9:45 PM	10:28 PM	43
188	5/27/18	Agidingbi nad by Mega Chicken	Ikeja	Did not respond	3:05 PM	3:18 PM	13
191	5/26/18	Accident at IKFIE  In Front of MRS Filling Station	Ibeju Lekki	Responded, no crash (false call)	4:44 PM	5:20 PM	36
192	5/26/18	Jakande by Ologolo B/Stop	Ibeju Lekki	Responded, addressed crash	9:34 PM	10:02 PM	28
193	5/27/18	Ikota in front of Shopping Complex VGC	Ibeju Lekki	Responded, no crash (false call)	7:58 AM	8:20 AM	22
194	5/29/18	3rd Round Abt inward Tollgate	Eti Osa	Responded, no crash (false call)	10:42 AM	10:53 AM	11
195	5/25/18	Lakowe Bus-stop	Ibeju Lekki	Other	12:19 PM	12:25 PM	6
197	5/20/18	Awoyaya Landmark Green Spring	Ibeju Lekki	Responded, crash was already addressed	9:08 PM	9:49 PM	41
198	5/20/18	Lakowe junction Epe expressway	Ibeju Lekki	Responded, no crash (false call)	1:57 PM	2:20 PM	23
199	5/6/18	Awoyaya by shoprite	Ibeju Lekki	Other	7:36 PM	7:55 PM	19
200	5/5/18		Ibeju Lekki	Responded, no crash (false call)	1:32 PM	2:40 PM	68
203	5/29/18	Lagbasa opp Prysch	Eti Osa	Responded, no crash (false call)	7:30 PM	8:12 PM	42
204	5/28/18	Front of Oriental Hotel	Eti Osa	Responded, crash was already addressed	1:39 PM	2:04 PM	25
206	5/26/18	Pen Cinema Abbatior before police station	Ifako Ijaiye	Responded, crash was already addressed	11:23 AM	11:31 AM	8
207	5/26/18	Oko-Oba Rd by carwash inward Abaten 	Agege	Other	5:37 AM	6:10 AM	33
