[6.4384522,3.5088246]	Inside Shoprite Mall,Eti Osa	4/11/18
[6.439996799999999,3.4323141]	Ozomba Mbadiwe Road,Eti Osa	4/7/18
[6.6207481,3.3529569]	Airport road by mobile filling station,Ikeja	4/4/18
[6.511804,3.3357373]	Ilasa Itire Rd,Mushin	4/4/18
[6.5224636,3.3350587]	Ilasamaga bustop inward Oshodi,Mushin	4/4/18
[6.5224636,3.3350587]	Ilasa bstop,Apapa	4/4/18
[6.531492,3.3359385]	Pako Bus Stop, Ayobo Ipaja road,Oshodi Isolo	4/2/18
[6.586719899999999,3.3805451]	Gbadebo str Ojota B/Stop,Ikeja	4/4/18
[6.601838,3.3514863]	Ojodu Secondary School,Ikeja	4/2/18
[6.601838,3.3514863]	Ojodu Secondary School,Ikeja	4/2/18
[6.5409839,3.3674149]	Anthony B/Stop inward Palm,Shomolu	4/6/18
[6.649112199999999,3.2710606]	Mason New Bridge inward Meiran,Alimosho	4/7/18
[6.6409144,3.3235571]	Ishaga Road Statwen Bustop inward Alambutu,Agege	4/7/18
[6.544385500000001,3.3563416]	Abattior infront of police station,Agege	4/1/18
[6.588236299999999,3.3978098]	Alapere R/About outward Ketu,Kosofe	4/18/18
[6.6854,3.300509]	Kola b/stop inward Ijaiye Agbado,Ifako Ijaiye	4/18/18
[6.6213657,3.3360238]	Akilo Road Egba,Ikeja	4/17/18
[6.621069100000001,3.3609354]	Abiola garden inward ojodu,Ikeja	4/18/18
[6.621069100000001,3.3609354]	Abiola garden inward Ojudu,Ikeja	4/18/18
[6.5381697,3.400003]	Olopomeji inward 3rd mainland bridge,Kosofe	4/8/18
[6.620054,3.352793]	Agindingbi by Daily Times B/Stop,Ikeja	4/1/18
[6.6000419,3.3787626]	Zenith bank CMD road Irosi,Kosofe	4/19/18
[6.639772199999999,3.367996]	Ojodu Berger Bomat bus stop birdmart Domino Plaza,Ikeja	4/19/18
[6.6178643,3.4000616]	Tofell Filling Station OPN Magodo inward Ojota,Kosofe	4/2/18
[6.6052795,3.278803]	Iyanapaja pleasure b/stop,Alimosho	4/12/18
[6.59408,3.33625]	Ikeja along underbridge,Ikeja	4/12/18
[6.6827149,3.3187418]	Ijaiye b/stop inward bango,Ifako Ijaiye	4/14/18
[6.6547512,3.2538]	AIT Inward Amikanle Agbado close to bondpast/swist filling station,Ifako Ijaiye	4/2/18
[6.609397299999999,3.368881]	7up/ grand square,Ikeja	4/21/18
[6.588236299999999,3.3978098]	Chinese Town inward Alapere,Kosofe	4/15/18
[6.460008999999999,3.228578]	PPL bus stop inward Badagry,Ojo	4/22/18
[6.6053337,3.2792438]	Iyana-Ipaja u-bridge inward ile-eso,Agege	4/28/18
[6.482819999999999,3.17227]	Iyana-Ishashi b/s inward Badagry,Ojo	4/14/18
[6.550827399999999,3.3318615]	7 & 8 Junction Airport Rd,Ikeja	4/24/18
[6.529929,3.2992]	Brown Junction,Oshodi Isolo	4/23/18
[6.558534,3.367001]	Anthony B/Stop Ikorodu Road,Ikeja	4/19/18
[6.6178643,3.4000616]	Infront of Mobil f/station gate, Magodo,Ikeja	4/23/18
[6.5409839,3.3674149]	Palmgrove B/S inward Mangala,Shomolu	4/24/18
[6.591397,3.3489923]	Mobokyi Bank Anthony,Ikeja	4/24/18
[6.474008,3.2021732]	Lasu Gate Inward Iyana-Oba,Ojo	4/28/18
[6.5214902,3.3349463]	Oshodi Pedestrian Bridge,Oshodi Isolo	4/25/18
[6.589321099999999,3.3774339]	Tipper Garage,Kosofe	4/26/18
[6.6207481,3.3529569]	Mobil filling station after toll gate,Ikeja	4/23/18
[6.5151087,3.3886033]	Abule Oja bstop coming from yaba inward bariga unilag road, vitafoam office,Shomolu	4/28/18
[6.6321593,3.5353721]	Itamaga Sawmile,Ikorodu	4/9/18
[6.6616952,3.5919549]	Itoikin Rd Adamo busstop,Ikorodu	4/10/18
[6.625461199999999,3.4839356]	Majidun close to Obgolonto before bridge inward Ketu,Ikorodu	4/21/18
[6.506448,3.363545]	Barracks inward Ojuelegba,Lagos Mainland	4/24/18
[6.505999999999999,3.363849]	Stadium b/stop inward Barracks,Surulere	4/25/18
[6.489160099999999,3.3587262]	Bode Thomas,Surulere	4/7/18
[6.4385055,3.3869337]	Marine bridge inward Apapa outward Ajegunle boundary,Apapa	4/8/18
[6.434566999999999,3.492087]	Chisco R/about,Eti Osa	4/15/18
[6.431696,3.424747]	Ikota opp. Zenith Bank,Eti Osa	4/19/18
[6.6321593,3.5353721]	Itamaga Rd by Ota-Ona Grammer,Ikorodu	4/23/18
[6.6321593,3.5353721]	Itamaga,Ikorodu	3/24/18
[6.6321593,3.5353721]	Kasoleri inward Itamaga,Ikorodu	4/16/18
[6.6304588,3.519452]	Ajegunle, Ikorodu Road,Ikorodu	4/28/18
[6.625461199999999,3.4839356]	Irawu busstop; Ikorodu,Ikorodu	4/29/18
[6.4471696,3.5178536]	Agungi under pedestrian bridge,Eti Osa	3/22/18
[6.437399,3.457824]	Lekki R/about Lekki Phase 1,Eti Osa	4/10/18
[6.462969999999999,3.5561]	Ikota First Gate,Eti Osa	4/14/18
[6.555018899999999,3.3962023]	Obalende inward Iyana - Oworo,Lagos Island	4/12/18
[6.434566999999999,3.492087]	Chisco Roundabout,Eti Osa	4/15/18
[6.451070400000001,3.5306402]	Chevron RIA ,Eti Osa	4/18/18
[6.4361901,3.406208]	Borny Camp,Lagos Island	4/15/18
[6.4361901,3.406208]	Borny Camp,Lagos Mainland	4/15/18
[6.479002599999999,3.3832579]	Ojingbo opp Mainland Hotel inward Iddo,Lagos Mainland	4/15/18
[6.4961142,3.4001874]	Adekunle inward 3rd Mainland Bridge,Lagos Mainland	4/13/18
[6.4384522,3.5088246]	Shoprite Mall,Eti Osa	4/11/18
[6.6137843,3.3580145]	Inside Shoprite Mall,Ikeja	4/11/18
[6.505999999999999,3.363849]	ALbanti barracks inward Ojuelegba,Surulere	4/13/18
[6.462360899999999,3.395043]	Osborne inward 3rd Mainland Bridge,Lagos Island	4/15/18
[6.4961142,3.4001874]	Adekunle ascending 3rd Mainland,Lagos Mainland	4/15/18
[6.4329553,3.4821678]	Ikate Roundabout of Freedom Way inward Embassy,Eti Osa	4/11/18
[6.4204878,2.8870999]	Front of Badagry Grammar School,Badagry	4/2/18
[6.5396036,3.2843757]	Cele Bus Stop,Agege	4/1/18
[6.6350513,3.3018154]	Ile-Epo B/stop by the side of the new bridge inward Abule-Egba,Shomolu	4/13/18
[6.5736623,3.3689103]	Adewale Aderibigbe off Ikorodu rd Maryland,Ikeja	4/13/18
[6.5736623,3.3689103]	Adewale Aderibigbe off Ikorodu Rd Maryland,Ikeja	4/13/18
[6.4264195,3.6274214]	Okun Ajah,Eti Osa	3/28/18
[6.4359204,3.4472259]	Admirality toll gate,Eti Osa	3/31/18
[6.4742278,3.8423713]	Ibeju close to Eleko junction,Ibeju Lekki	4/1/18
[6.4809017,3.766225]	Bogije b/s,Ibeju Lekki	4/4/18
[6.4809017,3.766225]	Bogije b/s,Ibeju Lekki	4/4/18
[6.4386578,3.8548356]	Ibeju close to Eleko,Ibeju Lekki	4/1/18
[6.4742278,3.8423713]	Ibeju close to Eleko junction,Ibeju Lekki	4/1/18
[6.4742278,3.8423713]	Ibeju close to Eleko junction,Ibeju Lekki	4/1/18
[6.4972384,3.3650049]	Ojuelegba Abati Barack inward Stadium,Surulere	4/9/18
[6.5569187,3.3595019]	Town Planning B/stop ,Ikeja	4/9/18
[6.579534199999999,3.3813509]	Ganifawemi Park Ojota,Kosofe	4/3/18
[6.6261427,3.3535281]	Agidigbin by Mega Chicken,Ikeja	4/2/18
[6.493300700000001,3.3226586]	Ijesha bus stop inward Oshodi,Surulere	4/13/18
[6.5648705,3.3468695]	Taskforce Office Oshodi,Oshodi Isolo	3/29/18
[6.6136117,3.3359599]	Opp. Guiness, Oba-Akran Road,Ikeja	3/29/18
[6.634811699999999,3.3453614]	Excellence Hotel inward Egba Ogunnusi,Ikeja	3/29/18
[6.6116552,3.295954]	Molashi Busstop inward Estrada,Alimosho	4/4/18
[6.512091,3.3284246]	Oshodi-Apapa Expressway Ambulance Point Landmark Itire,Oshodi Isolo	4/21/18
[6.4424442,3.4266846]	Akin Adesola VI,Lagos Island	4/24/18
[6.531492,3.3359385]	Ilaleko road by nam market inward Iyana Ido,Mushin	4/12/18
[6.6852621,3.2667899]	AMJE b/stop inward OTA,Ifako Ijaiye	4/12/18
[6.5741909,3.256588]	Odo eran along igando road inward Isen,Alimosho	4/12/18
[6.551067199999999,3.3401388]	Charity bus-stop inward Oshodi,Oshodi Isolo	4/9/18
[6.5359645,3.220395]	Ijegun Isheri Junction inward Ijegun,Alimosho	4/19/18
[6.599887,3.2995363]	Akowonjo Roundabout ,Alimosho	4/24/18
[6.471272,3.382845]	Iddo bus stop,Lagos Mainland	4/24/18
[6.4851769,3.3632507]	Iponri inward Stadium ,Surulere	4/2/18
[6.5508562,3.2400398]	LASU Igando road, Olorunjemi b/stop,Alimosho	4/2/18
[6.5736484,3.3062439]	Coker gate, orisunbare road Shasha,Oshodi Isolo	4/19/18
[6.5768818,3.2729038]	Powerline bus stop inward Igando,Alimosho	4/3/18
[6.5316323,3.3360842]	Bade b/s by NNPC Isolo rd outward Ikotun,Oshodi Isolo	4/26/18
[6.511670199999999,3.342303]	Lawanson road by cele b/s Iyana Itire,Surulere	4/10/18
[6.463470699999999,3.555718]	Jakande 1st gate inward Ajah,Eti Osa	4/17/18
[6.4359204,3.4472259]	1st toll gate inward Jakande Lekki,Eti Osa	4/21/18
[6.436712099999999,3.5080826]	Lekki Roundabout,Eti Osa	4/20/18
[6.449143599999999,3.5498178]	Lekki Epe Xpress Way Abraham Adesanya b/stop,Eti Osa	4/19/18
[6.451070400000001,3.5306402]	Chevron RTA,Eti Osa	4/21/18
[6.6085578,3.3094077]	Dopemu underbridge inw Oshodi,Alimosho	4/27/18
[6.4375018,3.4854591]	Itedo lane end of Admiralty Estate,Eti Osa	3/29/18
[6.4359204,3.4472259]	1st Toll Gate,Eti Osa	3/29/18
[6.4359204,3.4472259]	1st Toll Gate,Eti Osa	3/29/18
[6.506448,3.363545]	Ojuelegba, opp Abati Barracks ,Surulere	3/10/18
[6.476472999999999,3.369542]	National Art Theatre Inward Orile,Surulere	3/9/18
[6.5020291,3.377223]	Spencer bus stop,Lagos Mainland	3/3/18
[6.4441397,3.54211]	Ikota 2nd gate,Eti Osa	3/23/18
[6.463470699999999,3.555718]	Jakande roundabout under bridge,Eti Osa	3/10/18
[6.4519414,3.5549408]	Ikota b/stop inward Ajah,Eti Osa	3/10/18
[6.463470699999999,3.555718]	Ilasam inward Jakande,Eti Osa	3/13/18
[6.4498845,3.548681]	Civic Centre along Lekki by traffic light,Eti Osa	3/25/18
[6.4498845,3.548681]	Civic Centre along Lekki by traffic light,Eti Osa	3/25/18
[6.4378049,3.5166148]	Agungi b/stop,Eti Osa	3/13/18
[6.447506700000001,3.4670381]	Admiralty Lekki Express Orile PLaza,Eti Osa	3/25/18
[6.4329553,3.4821678]	Ikate b/s before bridge inward Lekki,Eti Osa	3/26/18
[6.435820199999999,3.4471546]	Lekki tollgate,Eti Osa	3/11/18
[6.625461199999999,3.4839356]	Majidun b/stop, Ikorodu,Ikorodu	3/2/18
[6.6376368,3.3558156]	Hotel b/stop Omole Ojodu Berger,Ikeja	3/11/18
[6.4622446,3.381494]	Apongbon inward Ojuelegba,Lagos Island	3/1/18
[6.4622446,3.381494]	Apongbon inward Ojuelegba,Lagos Island	3/1/18
[6.4913047,3.0284612]	Oko-Afo inward BDG,Badagry	3/30/18
[6.452433699999999,3.3903842]	Broad Str by Briscoe Busstop inward Apongbon,Lagos Island	3/4/18
[6.452433699999999,3.3903842]	Broad St BY,Lagos Island	3/4/18
[6.452433699999999,3.3903842]	Broad Street By,Lagos Island	3/4/18
[6.452433699999999,3.3903842]	Broad Str by Briscoe Bus-stop inward Apongbon,Lagos Island	5/4/18
[6.5151087,3.3886033]	3rd Mainland Bridge inward Iyana-Owo by Unilag Waterfront,Lagos Mainland	3/3/18
[6.601587599999999,3.4040424]	Owode Elede,Kosofe	3/4/18
[6.6055663,3.400014]	Mile 12 underbridge inward Ikorodu,Kosofe	3/8/18
[6.5893763,3.343083]	Surgical Emergency Lasuth,Ikeja	3/3/18
[6.614609,3.4733222]	Ogolonto by BRT lane inward Ikorodu,Ikorodu	3/4/18
[6.597497,3.386115]	Ketu b/stop by Lamata,Kosofe	3/4/18
[6.555018899999999,3.3962023]	Iyana Oworo inward Bariga on top of the  bridge berger,Shomolu	3/2/18
[6.588236299999999,3.3978098]	Ogudu inward Alapere,Kosofe	3/1/18
